"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M856.6609T739.6","856.660869363652","739.636962890625","889118.365014848","885137.766365044","870262.13411367","874106.311143319","876390.285306309"
"M858.6784T755.4","858.678423093643","755.409","1516379.44395925","1509037.38939552","1430529.2186959","1419037.52655905","1478326.78350112"
"M859.6899T777.9","859.689852597993","777.853881835938","383891.849484258","378616.019154748","368778.740801221","372231.360931056","371607.436621493"
"M862.5529T732.4","862.552889703092","732.35595703125","818101.275997469","806088.752243534","787322.204949802","778372.463384361","797037.065029162"
"M863.5645T752.4","863.564452088968","752.376","402886.224670541","489017.926000802","382325.014816532","374775.051406492","398112.672291768"
"M864.5679T752.4","864.56789868804","752.375549316406","199411.748220679","198910.672348754","185326.219181055","191609.603962495","196367.463414254"
"M868.5314T680.8","868.531426290431","680.794991455068","342914.988180416","333665.919165962","327829.6362046","335600.967434792","335727.446420255"
"M872.4717T455.7","872.471677590286","455.735107421875","27652.2289127675","25388.7733301278","39839.9266589437","39828.7481765618","24881.4753984654"
"M892.5302T682","892.530230297255","682.008547119141","261475.564704473","322092.897745497","260360.902184578","264336.607214101","291188.809908035"
"M896.5625T705.7","896.562529066177","705.666","725686.634272159","740405.525890437","644120.066197148","657946.978190724","747269.412727875"
"M923.6462T739.6","923.646176363777","739.637084960938","358815.999399073","349261.871388379","347070.02857978","344836.672168125","350250.26913138"
"M924.5937T729.3","924.593660846931","729.3251953125","479825.632673013","465283.692321025","461990.640464896","478650.064891113","480025.259631468"
"M925.6622T755.4","925.66219195993","755.408998291016","674069.678577746","674577.123942604","639664.611862773","644228.361340395","657900.209237482"
"M940.4519T222.5","940.451923919566","222.533248901367","22307.8434373016","21926.2703493929","23216.190202631","22436.471225785","20129.3285970914"
"M955.5538T744.5","955.553780568598","744.489013671875","68207.8482010514","73802.9119828168","61445.5570848299","85993.4261586145","57556.1943285376"
"M959.6512T766.3","959.651181603227","766.328002929688","51581.4690696854","55845.3642593874","54234.8694077149","53401.0498036778","52472.3542810142"
