"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M408.0669T421.1","408.066928484106","421.144012451172","0","0","0","0","0","4153.82040233059","5527.19363020734","7043.4244116211","6003.40119476454","4541.45639039161"
"M408.1615T151.8","408.161463095259","151.801971435547","0","0","0","137.216440274642","0","27620.0122992804","28575.1082217273","30403.0159392151","28912.5019811631","28996.83823544"
"M408.1964T536.4","408.196433735889","536.401916503906","858.945289370243","520.563934452946","921.958793144164","185.6812096175","468.560826635921","41734.6488850153","44191.8469718462","45940.3354603457","41478.6805805503","40585.8777591127"
"M408.2417T605","408.241749765279","604.952026367188","7786.54080819479","10008.0541273416","6303.05565763003","10899.514199673","7938.83616973178","67652.0212199665","71332.8212926102","63059.8414468927","58838.5990863648","54094.5322482198"
"M408.2595T712.9","408.259488137583","712.930541992188","0","240.828420234941","412.382568423935","306.676780446561","0","55283.231607345","56495.5498821989","61364.060089405","60311.7066653625","64895.5463681075"
"M408.759T712.9","408.758953617068","712.9306640625","180.175982411601","0","158.363600881467","0","0","26554.3252439073","34713.2371253587","38843.0247480644","33642.2231164695","33907.113904326"
"M408.775T677.1","408.774956828385","677.138977050781","270.64192345904","145.661515167811","164.299640829778","0","0","22394.4266266561","24221.8540732545","26986.6376305012","21548.7264517751","26056.8837545875"
"M409.1805T433.9","409.180496457502","433.882995605469","1159.70766830333","655.225144429931","969.773108479008","1995.78912339977","828.640627619438","33736.8669426547","35989.0558903896","35430.0191140809","29619.7878136423","32260.2424225337"
"M409.1871T47.5","409.187140989788","47.463","0","0","0","0","0","59279.6272051201","63836.2748809315","69370.4615187744","65729.3899274684","69092.3542269287"
"M409.2039T536.4","409.203854498441","536.401916503906","553.7902639137","585.477647158799","1294.53680536035","0","1177.17624487281","119643.507573571","119573.097912344","115288.082050868","119007.099215286","113486.585867163"
"M409.2426T643.2","409.24255650758","643.167846679688","1446.4016226152","3469.68678022083","1790.9217226468","3058.31589057735","3272.25338272261","30397.3001115594","28220.7576111324","24978.4982345211","28354.6314638478","29569.4999675004"
"M409.2531T553.4","409.253096752953","553.38700000002","368.82648023351","579.812879595189","466.967187416498","306.424370074379","617.460241440623","138800.817739593","124516.160186363","135150.166821672","124903.215946271","130614.342704724"
"M409.2551T380.5","409.255087465049","380.50099999998","717.899222181608","1100.47524715215","1160.10889763127","1081.93112913433","1369.89743673429","14926.2368166189","20318.295013154","13896.624062139","21880.7156868249","19282.7465145604"
"M409.2573T712.9","409.257321220254","712.930541992188","2760.52597162407","1494.34809120875","2194.28432310522","687.47428240769","0","34950.4267150586","34851.9607303787","36684.6320050568","38825.271279308","35571.3075594278"
"M409.755T682","409.755012312702","681.992034912109","1136.75819191433","351.798212992964","0","337.121777913138","175.175556807938","233191.571605037","237119.732775722","235118.428626435","253673.866919694","227933.807465382"
"M410.1904T47.5","410.190405609649","47.463","0","0","0","0","0","15760.4048144227","16179.496889793","18490.3509665426","17772.5446734826","16720.5978815616"
"M410.2071T536.4","410.207103121461","536.401916503906","1259.31859641972","266.51432569682","317.730370100588","356.966335565425","189.111140696555","29998.7310090473","29441.9334861427","27231.904760288","30998.525022423","32544.6410641113"
