"","mz","rt","GD_022_matrix_RPN_RRHD_B1.mzML","GD_023_matrix_RPN_RRHD_B1.mzML","GD_025_matrix_RPN_RRHD_B1.mzML","GD_027_matrix_RPN_RRHD_B1.mzML","GD_029_matrix_RPN_RRHD_B1.mzML","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M171.9804T299.8","171.980449830174","299.832244873047","224.752004364899","230.927129525405","1125.94567092018","1924.20264458771","881.257177104484","36631.4772772704","31723.6275472178","52665.9911059016","51993.7286099853","35501.7390270844"
"M172.992T51.5","172.992020255063","51.4571151733398","0","0","362.976686327141","421.295796184087","0","2270998.51393651","2311636.52345864","2365667.89040896","2355245.41059341","2378901.94676138"
"M172.999T40.1","172.999022192268","40.0665969848633","0","222.303171167017","0","0","0","56486.8890059326","56578.1360273505","56164.0869121948","58381.9182539429","54660.442143389"
"M173.082T203.4","173.082022810515","203.442321777344","27315.1143499361","28156.0302661335","26216.4610086857","28275.6069702731","28931.9698925734","50384.6446668911","50502.6048096462","57111.4841095287","55321.9699452758","50108.7331939813"
"M173.096T36","173.095952565542","35.9565010070801","49606.4795107133","49821.8610330161","49433.0768990012","52909.7885405152","54491.7620280511","833.87718287704","1358.61526638103","0","0","745.71218081883"
"M173.1182T349","173.118208030047","348.968658447266","32310.9538419996","28123.1403042991","27642.2403151589","30398.4646749011","30350.735159536","40207.698761344","47117.2427659665","39988.7138259888","45790.0081666905","45282.3611761688"
"M173.9778T299.8","173.977752858048","299.832275390625","206.648378951983","186.615307558667","0","195.300226384943","221.243667266586","10628.117461943","11986.0862649169","12579.7101621625","16477.0107769544","11123.6442125876"
"M173.9949T51.5","173.994895901601","51.4571151733398","469.116931184158","151.070890516192","151.841602867953","0","133.07661123842","169122.185772803","171857.850648749","164245.048655702","171785.627382278","174284.828605805"
"M174.0991T36.2","174.099059851733","36.243968963623","663534.389796603","651183.803208985","654930.952002685","650741.506163469","670003.946142565","22905.3441119242","25409.8478765742","24817.4591297781","28182.1166928287","23076.7897076206"
"M174.956T605","174.956046550792","604.964233398438","191848.188003091","179704.874529782","197790.924412335","217956.479556925","210947.43034475","419353.809673475","423001.17609339","437795.008028564","441505.188462756","427948.892843593"
"M174.956T577.1","174.955997048926","577.059020996094","139515.144138257","167902.250381659","149120.692045743","142365.520678211","139870.087284061","234920.350659213","277810.784054087","275310.261293635","259111.760502922","246137.592869435"
"M174.9895T51.5","174.989497586433","51.4571151733398","0","0","0","0","0","94701.2204878128","100019.373451974","99053.148682863","96211.9912302623","104271.142240283"
"M175.0146T64.6","175.014639759632","64.6112289428711","0","0","261.033521169753","0","0","78832.2508962889","98863.0278856854","95546.0173449014","97225.8712691541","96189.982053178"
"M176.0386T50.2","176.038640646164","50.1902389526367","0","0","0","283.862191735208","0","11544.3985240904","12111.7347558594","14315.223675345","11437.7383565196","11955.3629009233"
"M177.0117T64.5","177.011743805209","64.5361144714356","0","0","334.341192395601","0","0","29155.8797198054","33769.3697264929","30568.565884829","30679.6170776599","31836.214962304"
"M177.0555T353.8","177.055504360417","353.820037841797","206.897525702273","1034.96275711712","0","137.412265616091","227.961817846565","12823.5931362934","16673.0102170486","14192.8734324913","15079.4423482404","11250.3240755208"
"M177.0926T32.9","177.092551506656","32.9158630371094","45151.6744385254","47101.5576628901","44316.7740092911","47736.9816456578","48612.7941508664","530.050753548719","448.719268597934","1563.81344811705","337.442916857617","1254.89771832256"
"M177.1284T274.3","177.128393685344","274.320678710938","296.111173042826","217.276264774347","142.673369486131","151.556527411446","0","34960.8541296636","37129.3762239969","33135.4704946875","33597.9876647649","36971.0038588091"
"M178.9776T687.5","178.977551332723","687.467834472656","121263.642906909","116846.436627449","101117.744207553","96930.830121885","108678.824908186","243906.813941084","222423.92623444","223799.588128703","227387.243455524","241927.030730227"
"M178.9776T276.8","178.97755915641","276.750701904297","535642.87779397","530992.381085932","475733.482230544","509811.056092893","526038.683680857","402822.717023315","394695.352544923","394225.839012694","455178.081158772","460835.773110789"
"M178.9775T605","178.977519440324","604.965026855469","492757.351693012","480600.331415144","492925.154369105","445868.443352864","435737.648509175","794612.140472136","805597.877584295","466355.192480233","468785.839330816","784881.246217093"
"M178.9775T636.5","178.977511895037","636.510559082031","214622.153346453","233506.525682552","252479.484807645","212728.333993179","224022.370786939","373766.376704935","210642.740558284","242169.433011914","238465.260323437","198114.72356853"
"M178.9775T577.1","178.977487089534","577.06005859375","356684.528483293","370548.851647351","314579.63114844","322447.512994435","323673.248813192","482492.987523449","457430.770407866","447944.576462556","451336.106247572","427516.165468247"
"M178.9774T469.1","178.977416233676","469.081787109375","494572.892654044","568637.299394969","523447.91706488","559933.9284629","386055.922926051","859922.165653654","773782.38278064","741434.231720366","777447.007407421","832012.161375003"
